location_type,state_code,state_name,website_state_id,year,travel_spending_source_value,travel_spending_denomination,travel_spending_usd,state_local_tax_receipts_source_value,state_local_tax_receipts_denomination,state_local_tax_receipts_usd,jobs_source_value,jobs_numeric,employment_ranking,,,,,,,,
state,MT,Montana,27,2019,5.2,Billion,5200000000,186,Million,186000000,"34,300",34300,4,,,,,,,,
state,NC,North Carolina,34,2024,36.7,Billion,36700000000,2.7,Billion,2700000000,"230,300",230300,9,,,,,,,,
state,NC,North Carolina,34,2023,35.6,Billion,35600000000,2.6,Billion,2600000000,"227,200",227200,9,,,,,,,,
state,NC,North Carolina,34,2022,33.3,Billion,33300000000,2.5,Billion,2500000000,"216,900",216900,9,,,,,,,,
state,NC,North Carolina,34,2021,28.9,Billion,28900000000,2.3,Billion,2300000000,"197,500",197500,9,,,,,,,,
state,NC,North Carolina,34,2020,20,Billion,20000000000,1.8,Billion,1800000000,"178,700",178700,10,,,,,,,,
state,NC,North Carolina,34,2019,29.2,Billion,29200000000,2.4,Billion,2400000000,"242,600",242600,7,,,,,,,,
state,ND,North Dakota,35,2024,3.6,Billion,3600000000,379,Million,379000000,"26,900",26900,6,,,,,,,,
state,ND,North Dakota,35,2023,3.5,Billion,3500000000,371,Million,371000000,"26,400",26400,6,,,,,,,,
state,ND,North Dakota,35,2022,3.2,Billion,3200000000,355,Million,355000000,"25,700",25700,5,,,,,,,,
state,ND,North Dakota,35,2021,2.8,Billion,2800000000,316,Million,316000000,"23,100",23100,6,,,,,,,,
state,ND,North Dakota,35,2020,2.2,Billion,2200000000,288,Million,288000000,"21,500",21500,7,,,,,,,,
state,ND,North Dakota,35,2019,3.3,Billion,3300000000,396,Million,396000000,"27,200",27200,5,,,,,,,,
state,NE,Nebraska,28,2024,6.2,Billion,6200000000,367,Million,367000000,"47,700",47700,9,,,,,,,,
state,NE,Nebraska,28,2023,6.2,Billion,6200000000,365,Million,365000000,"47,500",47500,9,,,,,,,,
state,NE,Nebraska,28,2022,5.8,Billion,5800000000,346,Million,346000000,"45,400",45400,9,,,,,,,,
state,NE,Nebraska,28,2021,4.6,Billion,4600000000,311,Million,311000000,"39,700",39700,10,,,,,,,,
state,NE,Nebraska,28,2020,3.4,Billion,3400000000,261,Million,261000000,"35,200",35200,11,,,,,,,,
state,NE,Nebraska,28,2019,5.6,Billion,5600000000,355,Million,355000000,"48,600",48600,8,,,,,,,,
state,NH,New Hampshire,30,2024,4.5,Billion,4500000000,120,Million,120000000,"20,100",20100,12,,,,,,,,
state,NH,New Hampshire,30,2023,4.5,Billion,4500000000,120,Million,120000000,"20,000",20000,12,,,,,,,,
state,NH,New Hampshire,30,2022,4.3,Billion,4300000000,116,Million,116000000,"19,300",19300,12,,,,,,,,
state,NH,New Hampshire,30,2021,3.4,Billion,3400000000,110,Million,110000000,"17,100",17100,12,,,,,,,,
state,NH,New Hampshire,30,2020,3,Billion,3000000000,103,Million,103000000,"14,800",14800,13,,,,,,,,
